Text,labels
ഇതൊക്കെ ഏതെങ്കിലും സ്കൂൾ പിള്ളേരോട് പോയി പറയടാ🤞🤞🤞🤞🤞ettann,Non-sarcastic
പടം കണ്ടിട്ട് വന്നവർ ഇവിടെ കമോൺ,Non-sarcastic
പടം കണ്ടു കഴിഞ്ഞ് വീണ്ടും ഇടയ്ക്കിടയ്ക്ക് വന്നിട്ട്  Trailer കാണുന്ന ആരെങ്കിലും ഉണ്ടോ,Non-sarcastic
Trailer kidukki full movie kidukidukkum.. we still waiting..,Non-sarcastic
മഞ്ജു വാര്യരുടെ ശക്തമായ കഥാപാത്രമാണ് ഇത്. ഉറപ്പായി,Non-sarcastic
"Theatrilu poyi kananam, ennale athinte rangu varoo",Non-sarcastic
"1:01 ippo manasilayile, prithviraj undu ennu!",Non-sarcastic
പറയാതെ വയ്യ കിടിലൻ ട്രൈലെർ..  FDFS waiting  മൊത്തത്തിൽ ഒരു കൊറിയൻ മണം അടിക്കുന്നുണ്ടല്ലോ,Non-sarcastic
01:04 ഇപ്പൊ ജോബി ജോർജിന്റെ അവസ്ഥ,Non-sarcastic
Oru ikka fan aaya enne vare eattan fan aakkiya movie,Non-sarcastic
ഇഷ്ടപ്പെട്ട രണ്ടു ഐറ്റങ്ങൾ ഒരുമിച്ച്:- ജോജു & ചെമ്പൻ  തകർപ്പൻ ട്രെയിലറും 🤩,Non-sarcastic
After Pulimurugan Biggest Blockbuster ku Waitiing For Tn Fans,Non-sarcastic
Thrissur baasha athra pora ennu trailer Kanda ppl enikku thonni ningalko?,Sarcastic
Innale ikka inn ettan  But randilum athimtethaya kuravukal ulla feel But randum hitakumenn pretheekshikkunnu,Sarcastic
മൂക്കുത്തി കണ്ടില്ലെങ്കിൽ പുതിയ ഒരെണ്ണം വാങ്ങണം. അതെങ്ങനെയാ തുണിവാങ്ങാനുള്ള കാശില്ല അപ്പോഴാ പുതിയ മൂക്കുത്തി.,Sarcastic
Trailer polinu paryavur like adi,Non-sarcastic
Next Adaar Item Loading Aarokke Ind Katta Waiting,Non-sarcastic
"[8/2, 6:10 PM] Achu: നിങ്ങൾ സഹായിച്ചാൽ 350 sub akum ഒന്ന് സപ്പോർട്ട് ചെയ്യു guyz .🥰   തിരിച്ചു  ചെയ്യാം 🧡🧡 [8/2, 7:03 PM] Achu:  Trailer",Sarcastic
Supr trailer oru vettame like adikkan pattullu ennoru sankadam athra kidu trlr,Non-sarcastic
Malayalathil oru nale thriller kanditu korechu ayi,Non-sarcastic
youva thara nirayil eni yeattavum muzhangi keelkkunnath tovinoyude Peru aayirikkum...,Non-sarcastic
Ee mass kanan kaathirikkunna All Pravasi       Malayalees ivide come on,Non-sarcastic
വരിക്കാശ്ശേരിമന കാണാൻ പോയപ്പോ  'മാമാങ്കം' ഫിലിമിന് വേണ്ടി സെറ്റ് ഇടുകയായിരുന്നു അവിടെ......,Sarcastic
Yaa mone Holywood getup kaathirunnath verthe aayillah bgm marana maass,Non-sarcastic
കൊല കാട്ടിലെ ഇരിക്കെ മവനെ കൊല്ലമേ വിടമാട്ടെ കിടിലൻ ലുക്ക് mamootty fans please like...,Non-sarcastic
കണ്ണടച്ച് ഹെഡ്സെറ്റ് വെച്ചു കേട്ടാൽ മധു പറയുന്ന അതെ ശബ്ദം,Sarcastic
ഇത് നമ്മൾ വിചാരിച്ച പോലെ അത്ര മാസ്സ് ഒന്നും അല്ല,Non-sarcastic
ഇതിന്റെ ഇടയിൽ  Avengers ine കണ്ടവർ like adi,Non-sarcastic
IKKADE Aniyanmar pani tudangi makkale....  neerali 24 Dayz 23K like #Abtsntikl 14 Hours 43K lyk,Non-sarcastic
മലയാള സിനിമയുടെ തലവര മാറ്റാൻ പോകുന്ന രണ്ട് പടങ്ങളിൽ ഒന്ന് എന്നത് നിസംശയം പറയാം ഒന്ന് സംഭവിച്ചു കഴിഞു /ജല്ലിക്കട്ട്.... അടുത്തത് മൂത്തോൻ..... Marana Waiting...,Non-sarcastic
ഞാൻ ഒന്ന് നോക്കാൻ എടുത്തതായിരുന്നു........ ഇവൾ ഇത് പാട്ടാക്കും എന്ന് ഞാൻ അറിഞ്ഞോ....,Sarcastic
അവസാനത്തെ മാർഗം കളി ഷൂട് ചെയ്തിരിക്കുന്നത് കണ്ടാൽ മനസിലാകും ഡയറക്ടർ വേറെ ലെവൽ  ആണെന്ന്..,Non-sarcastic
ഫഹദിക്ക സൗബിൻക്ക ഷെയിൻ ഭാസി ഫ്രാങ്കി...മച്ചാൻമാരെ വാക്കുകൾ ഇല്ല നിങ്ങൾ മലയാള സിനിമയുടെ  മുത്തുകൾ ആണ് ...സുഷിന് ശ്യാം മധു  സി നാരായണൻ പോത്തേട്ടൻസ് no words .. Hatss off ...അഭിനയിച്ചവർ എല്ലാവരും സൂപ്പർ,Non-sarcastic
Mass  Ikka  Terror bgm Ithu pwolikum,Non-sarcastic
Lalettan and odiyan fans like adikku,Non-sarcastic
ലാലേട്ടൻ ഫാൻസ്‌ ലൈക്ക് button അടിച്ചു pwolikku,Non-sarcastic
"മെമ്മറീസിനും ദൃശ്യത്തിനും ശേഷം ലക്ഷണമൊത്ത ഒരു ത്രില്ലർ മലയാളത്തിൽ വന്നിട്ടില്ല. അഞ്ചാം പാതിരാ അടിപൊളി ത്രില്ലർ ആവട്ടെ എന്നാശംസിക്കുന്നു ആഗ്രഹിക്കുന്നു. തമിഴിലും മറ്റും വന്നാൽ പോരല്ലോ ത്രില്ലർ പടങ്ങൾ, നമ്മടെ മോളിവുഡിലും വേണ്ടേ",Non-sarcastic
E polippan trailerinokke dislike adichathu ethu keedangallannavo... kuru pottal ippazhe thundangi....,Non-sarcastic
4 bangalikal mannu valichu kadalilekk ittal theeravunnathe ullu ninte Japan,Sarcastic
Mamukka I  like  you,Non-sarcastic
keanu reeves anno eddak ah chuvanna thoppi vechond varanee🤓🧐,Sarcastic
പരീക്ഷ ഹാളിൽ അറിയാതെ ഉറക്കെ ഈ പാട്ടു പാടിപോയ ലെ ഞാൻ....,Non-sarcastic
സൺ‌ഡേ കുർബാന പോത്ത് ഇറച്ചി നസ്രാണി,Non-sarcastic
1:07 oo aa scene  istapetavar like adik makale,Non-sarcastic
Ee onam ini arum nokkandaa ettan parayan paranju,Non-sarcastic
ഇല്ലിക്കൽ കല്ല് ' മനോഹരമായ ഒരു editing...  കാണാതെ പോകല്ലേ കുട്ടുകാരെ.,Non-sarcastic
Ente ammoo.... Aaa super man punch undallo ...Ijjathi item.....,Non-sarcastic
History of Mammukka   kattawaiting and support love u Mammukka,Non-sarcastic
"Padam oru ""horror movie"" akkamarnnuuu kaanunnavar koodi pedikanarnu, punch storym alla..",Non-sarcastic
prithvirajinte hollywood 9 panjikidan pokunna item,Non-sarcastic
nivin pauli annel ithe oru onnonnara Padam ayene,Non-sarcastic
ആാാ മ്യൂസിക് ഗോപി സുന്ദർ ആണ് അതാ  BGM ഇൽ ഒരു രാക്ഷസൻ touch  സെരിയാണോ?,Non-sarcastic
എനിക്ക് തോന്നുന്നു ഇത് മണിക്യത്തിനെയും രാജൻസക്കറിയയെ പോലെയും ഒരു വ്യത്യസ്ത മാസ്സ് charector ആയിരിക്കും എന്ന് ..അഹ് ചിരി,Non-sarcastic
പോയി ഫെമിനിച്ചികൾ?  എവിടെ പോയി അമ്മ സംഘടനകൾ?  സത്യായിട്ടും കണ്ടിട്ട് സഹിക്കുന്നില്ല  കോടികൾ വാരുന്ന സിനിമ  സംഘടനകൾ ഇത്രയ്ക്കും മനുഷ്യത്വം ഇല്ലാത്തവരാണെന്ന് ഇപ്പൊ മനസ്സിലായി,Sarcastic
Edakida  etra million ayi enna nokan varunavar onnu like,Non-sarcastic
2k19 മമ്മുക്കയുടെ വർഷം ആയത് പോലെ 2k20 മമ്മുക്കയുടെ ആയി മാറട്ടെ,Non-sarcastic
ഹെഡ് സെറ്റ് ഉപയോഗിച്ച് കേൾക്കണം ചങ്ങായി.. എജ്ജാതി.. ഇടിക്കട്ട വെയിറ്റിംഗ്,Non-sarcastic
പുത്തൻപണം പോലെ ആവാതിരുന്നാൽ മതിയായിരുന്നു .  പടം നല്ലൊരു എന്റെട്രൈനെർ ആവട്ടേ...!  All The Very Best 🥰,Non-sarcastic
ലാലിന്റെ അഭിനയത്തിന്റെ  ചാരുതയെല്ലാം ...ഇപ്പൊ  ഡയലോഗിനുവേണ്ടി  കാത്തുനിൽകുന്നപോലെ,Sarcastic
Pramukha nadanmarude fans chodicha paranjheku... 2020 um MAMMUKKAaa eduthennu....,Non-sarcastic
Ikkaaaaa katta waiting.. Ini kurach nal koodi,Non-sarcastic
Aiwaaa... aaa last scene.... ente ponney ejjaathi trailer,Non-sarcastic
എന്റമ്മോ മലയാളം പടത്തിന്റെ റേഞ്ച് മാറിയല്ലോ....  ഇതിനെ ഡീഗ്രേഡ് ചെയ്യാതെ നമുക്ക് തീയേറ്ററിൽ പോയി കാണാം,Non-sarcastic
Aarum kanaa  namurunal that is super,Non-sarcastic
ഞാൻ ഈ പടം കാണില്ല കാരണം ഇതിന്റെ ഡയറക്ടർ അജയ് വാസുദേവ്‌ ആണ്,Sarcastic
ena edhu irakune... kure nal ayelo idhu,Non-sarcastic
Raja de randam varavini kodi kayaran ini kurach manikoorukal mathram.....idikatta waiting,Non-sarcastic
മൂവി :-കുമ്പളങ്ങി നൈറ്റ്സ്........ (2019)\r ഗാനരചന  :-  അൻവർ അലി\r ഈണം  :- സുഷിൻ ശ്യാം\r രാഗം:- \r ആലാപനം :- ആൻ ആമി & സൂരജ് സന്തോഷ്\r   ഉയിരിൽ തൊടും തളിർ \r വിരലാവണേ നീ..\r അരികേ നടക്കണേ.. അലയും \r ചുടുകാറ്റിനു കൂട്ടിണയായ്\r നാമൊരു നാൾ കിനാക്കുടിലിൽ \r ചെന്നണയുമിരുനിലാവലയായ്..\r \r ആരും.. കാണാ... ഹൃദയതാരമതിൽ \r ഉരുകി നാമന്നാരും.. കേൾക്കാ... പ്രണയാജാലകഥ \r പലവുരു പറയുമോ...\r \r ഉയിരിൽ തൊടും കുളിർ  \r വിരലായിടാം ഞാൻ.. \r അരികേ നടന്നിടാം.. അലയും \r ചുടുകാറ്റിനു കൂട്ടിണയായ്\r നാമൊരു നാൾ കിനാക്കുടിലിൽ \r ചെന്നണയുമിരുനിലാവലയായ്..\r  \r ആരും.. കാണാ... ഹൃദയതാരമതിൽ \r ഉരുകി നാമന്നാരും.. കേൾക്കാ... പ്രണയാജാലകഥ \r പലവുരു പറയുമോ...\r \r വഴിയോരങ്ങൾ തോറും \r തണലായീ പടർച്ചില്ല നീ...\r കുടയായ് നിവർന്നൂ നീ \r നോവാറാതെ തോരാതെ പെയ്‌കേ..\r തുഴയോളങ്ങൾ പോൽ നിൻ \r കടവത്തോന്നു ഞാൻ തൊട്ടു മെല്ലെ\r കാറ്റേ ചില്ലയിതിൽ വീശണേ\r കാറേ ഇലയിതിൽ പെയ്യണേ \r മെല്ലെ തീരമിതിലോളങ്ങളോളങ്ങളായി നീ വരൂ...\r \r ഉയിരിൽ തലോടിടും \r ഉയിരായിടും നാം.. \r നാമൊരു നാൾ കിനാക്കടലിൽ \r ചെന്നണയുമിരുനിലാനദിയായ്..\r   \r ആരും.. കാണാ... ഹൃദയതാരമതിൽ \r ഉരുകി നാമന്നാരും.. കേൾക്കാ... പ്രണയാജാലകഥ \r പലവുരു തുടരുമോ...,Non-sarcastic
Good will uplaod aakitum. Why view koravu?,Non-sarcastic
Dialogue presentation pora bakki ellam kollam,Non-sarcastic
ന്റെ പൊന്നോ.. പടം ഒരു രക്ഷയുമില്ല soubinikka,Non-sarcastic
ithu oru 5 million views aakkanam..,Non-sarcastic
ഞാൻ കണ്ടൂ..... ഞാനെ കണ്ടുള്ളൂ...... മൂക്കുത്തി എന്റെ കൈയിൽ ഉണ്ട്  ഞാൻ തരൂലാ.....സ്വർണം ആണെങ്കിൽ ഞാൻ വിറ്റു കാശാക്കും,Sarcastic
Jayasurya fan from Tamilnadu vera level,Non-sarcastic
ഒരുപാട് സിനിമകളിൽ style വേഷങ്ങൾ ചെയ്ത സുപ്പർ സ്റ്റാർ രജനീകാന്തിന്റെ ആഗ്രഹം ട്രാൻസ് ജെൻററായി വേഷമിടാൻ അപ്പോ മനസ്സിലാക്കാല്ലോ ആ വേഷത്തിന്റെ റേഞ്ച്,Non-sarcastic
evide poyalum mechinte avasta idu tanne........mech student from mumbai,Non-sarcastic
Katta Waiting ikka  Mamangam  Nov 21 FDFS,Non-sarcastic
"മമ്മൂക്കയാണങ്കിൽ പൊരിച്ചേനെ കുഞ്ഞാലി മരക്കാർ, ലാലേട്ടന്റെ Dialogue punch ഒരു ഗും ഇല്ല....",Sarcastic
Dislikes illathe ituvare onnum hit aayittilla,Non-sarcastic
അടുത്ത ബോംബ്മായി ഗുഹൻ ഇറങ്ങി തീയറ്ററുകൾ പൂരപറമ്പാക്കാൻ,Sarcastic
Abrid Shine എന്ന് കേക്കുമ്പോഴേ രോമാഞ്ചം,Non-sarcastic
"I am Thala Ajith Fan, I like Nivin and lalettan  But Mammukka கொல மாஸ்",Non-sarcastic
Waiting for the big budget movie Marakkar Arabikadalinte Simgham,Non-sarcastic
Ivde like adichavar avde poy dislike ADI.. avde like adichavar ivde vannum dislike adikku.. sangathy onnu kozhukkatte..,Non-sarcastic
ഫസ്റ്റ് ഡേ പോയി പടം കണ്ടു.....ഉഗ്രൻ പടം മനസ്സുനിറഞ്ഞു.....എല്ലാവരും ഈ സിനിമ തീറ്ററെയിൽ പോയി കണ്ടു ഈ സിനിമയെ വിജയിപ്പിക്കുക....,Non-sarcastic
"Oru karyavum illa.. ennalum, chodikkuaa.. Avark maatram pora.. enikkum like taa.. illael vaenda.. avark koduthekk..",Non-sarcastic
Lalettan Salam. Otha enna trailer uh. Last one minute is absolute Goosebumps. Mangalasery neelakandan Karthikeyan odanno Kali..,Non-sarcastic
Vann vann paattum ee kolathil aayallooaduthath enthaanaavo kaanaathath.be positive,Sarcastic
Ethenna pottan kaliyo idhano big budget cenimede dialoge,Sarcastic
"ഒരു പ്രേക്ഷകന് എന്ന നിലയിൽ പറഞ്ഞാൽ വളരെ മോശം ആണ് , ഇ പടം പൊട്ടുമോ എന്നൊരു സംശയം ,  പാട്ടുകൾ താനെ ഇഴഞ്ഞു ആണ്  നീഗുന്നതു , ഉണ്ണി മുകുന്ദൻ അഭിനയം ഒരു പ്രതീകശ തരുന്നില്ല ,",Sarcastic
Njanoke film kanaan thudangiya shamyath last shavidhanam josy ann azuythy kannikumbo undaakunaa aaa romanjam undallo e trailer inte avashanam kandpaozum undaai amazing feel best of luck my great director,Non-sarcastic
Ankamali kku ameen yl undaaya kutti polethe oru feeling trailor kandappo .,Non-sarcastic
Ichaayn masss alaaa marana masss anuuuu polwiii,Non-sarcastic
Mamooka Unniyettan fans  like here,Non-sarcastic
അപ്പോൾ ഈ ഓണം ഇങ്ങു എടുക്കുവാണ് ലാലേട്ടൻ,Non-sarcastic
Love you..  swasuuuu... ...  all the best da🥰🥰🥰🥰🥰🥰🥰🥰...  ഇതൊരു പുതിയ തുടക്കം ആകട്ടെ.. പൊൻതൂവൽ ആകട്ടെ 🥰🥰🥰🥰🥰swasu ഇഷ്ടം...   Aksfa,Non-sarcastic
Evidunnu eragan thonnanillaloo daivameee..... Vellandu agu,Non-sarcastic
Waiting     8,Non-sarcastic
ഈ charactor മരണ മാസ്സ് ആണ് മക്കളെ ഞാൻ ഈ സിനിമയിൽ ഉണ്ടായിരുന്നു.,Non-sarcastic
Eeth  adipoli teaserilum kanum diss like adikkan oronn poyi chachoodedo ninakokke,Sarcastic
ഇതൊന്നും കണ്ട് നിക്കാണ്ട് പോയി കരിക്ക് കാണ് മക്കളെ,Sarcastic
USA ഒക്കെ... India  നോ....   എന്റെ ഫഹദിക്കാ... ഇംഗ്ലീഷ്  അറിയാത്ത ഒരു ശരാശരി മലയാളീടെ ഡയലോഗ്...,Non-sarcastic
ഇൗ വർഷത്തെ ഏറ്റവും കൂതറ പടം ഇതായിരിക്കും... കൊറേ കൂറ ഭാവവും നടപ്പും... പിന്നെ തള്ളി തള്ളി മുകളിൽ എത്തിക്കാൻ കൊറേ മണ്ടന്മാരും... ഒരു പോത്തെട്ടൻ ദുരന്തം...,Non-sarcastic
ഭവനെ കൊല ഗാണ്ടില് ഇറക്കെ കൊല്ലാമെ വിടമാട്ടെ  Shylock മമ്മൂക്ക ഡാ,Non-sarcastic
Yaarupa ne indian no 1 mass actor,Non-sarcastic
Waiting.....  for mamankam എത്രപേർ,Non-sarcastic
ഈ മച്ചാനു  Cris Gale ന്റെ ഷേപ്പ് തോന്നിയ എത്ര പേരുണ്ട്?,Non-sarcastic
ജയസൂര്യ ആരാധകന്റെ വിജയാശംസകൾ  കുഞ്ചാക്കോ ബോബന്റെ വമ്പൻ തിരിച്ചു വരവ്,Non-sarcastic
Trailer kidilam.... Kallaki.... Joshy Sirntea.... Thirichu Varavu.. ..,Non-sarcastic
ജോഷി സാറിന്റെ എൻതോരം Mass  പടങ്ങൾ നീയൊക്കെ കണ്ടതാ.... ഈയൊടുക്കത്ത Massഉം കൂടി കാണ്...... Joshiy Sir.... MassKaBaap.... പെരുത്തിഷ്ട്ടോർന്ന്.... ഇങ്ങളെ..... 🤩,Non-sarcastic
ഗായികക്ക് ശ്രേയ ഘോഷാൽ ഇന്റെ sound പോലെ ഒരു ഫീൽ.,Non-sarcastic
ദാസേട്ടന്റെ കാത്തിരുന്ന പാട്ട് ...... മമ്മുക്ക പൊളിച്ചു ..... കളിയാക്കുന്നവർക്ക് ചരിത്രമെന്തെന്നോ സിനിമ എങ്ങനെയൊക്കെ ആകണമെന്നോ അറിവില്ല അവർ വാ കഴയ്ക്കുന്നിടം വരെ കളിയാക്കട്ടെ .......,Non-sarcastic
Katta waiting fans  Like here,Non-sarcastic
0:49 il varunna acress ine ethoo cinema yil kanda orma.. ethayirunnu?🤔,Non-sarcastic
ikka fan aahn but trailer vijrcha atra vannilla . cinema endhayalum polichadukum enn viswasikunnu,Non-sarcastic
Trailer pwoliiiii......... padavum angane aayirunna matiyayirunnu,Non-sarcastic
പുള്ളിയരി  പുള്ളിയരി എന്ന് പറയുന്നത് ഇതാ iytem,Non-sarcastic
Trailer vijaricha athra oru gum aayila le...Saramila padam nannayal mathi..,Non-sarcastic
Review kaanan nilkkathe padam kaanan pokum ennullavar undo,Non-sarcastic
Parayunna kond onnum thonnallu nalla veruppikkalayitt ond,Non-sarcastic
"Lallettante masss kannannelll decemberil odiyan irangumbol teaterukalileekku vaaa ""odiyanthe odi vidhyakal""",Non-sarcastic
ഇതിനൊക്കെ എന്താ പറയാ എന്റെ ലാലേട്ടാ  മനസ്സ് നിറഞ്ഞു.. ആ മാർഗം കളിക്കുന്ന കാണാൻ എന്തൊരു ഭംഗിയാണ്  പെർഫെക്ട് ക്രാഫ്റ്റ്,Non-sarcastic
Mammokka fans Tamil nadu  like here,Non-sarcastic
ലാസ്റ്റ് ആ മാര്‍ഗം കളി കളിച്ച ആളല്ലേ മംഗലശ്ശേരി നീലകണ്ഠന് ആയിട്ട് അഭിനയിച്ചത് 🤔🤔🤔 അത് എങ്ങനെ ശെരി ആവും 🤔🤔,Non-sarcastic
Mass kola mass shylock ..കട്ട വെയ്റ്റിംഗ് ..,Non-sarcastic
Ithu njangal polichadukkum. Love you latetta.....,Non-sarcastic
Ikkaa ikkaaa ..ente chomanna jatty kandaa,Non-sarcastic
മുംബൈ ധാരവിയെ വിറപ്പിക്കാൻ അവൻ വരുന്നു മൂത്തോൻ,Non-sarcastic
ഉണ്ണി മുകുന്ദൻ മസിൽമാൻ മാത്രം ആയി മാറി,Sarcastic
Raju etta ningal pwoliya. + Lal etta ningal marana mass. Eth pwolikum. Vere level aanu,Non-sarcastic
Mammuka evide evideen kannum nattu nokkiyirunnath njn matjramanoo?,Non-sarcastic
"പൂർണമായും ബഹറിനിൽ ചിത്രീകരിച്ച ഒരു web series ആണിത് കുറെ അധികം പരിമിതികളിൽനിന്നുകൊണ്ട് തയ്യാറാക്കിയതിന്റെ പോരായ്മകളും ഉണ്ടാകും എങ്കിലും നിങ്ങളുടെ സഹകരണം പ്രതീക്ഷിക്കിക്കുന്നു ,please support",Non-sarcastic
ആവറേജ് റിപ്പോർട്ട് കിട്ടിയാൽ പോലും ഓണം box office  തൂക്കിയടിക്കും,Non-sarcastic
ആരും കാണാ ഹൃദയതാരമതിൽ  ഉരുകി നാമ - ന്നാരും കേൾക്കാ പ്രണയജാലകഥ  പലവുരു പറയുമോ .....,Non-sarcastic
എങ്ങനെ നമ്മുക്ക് സിനിമ ഓഡിഷനെ നേരിടാം ?,Non-sarcastic
Evide dress oori kanikkan madi ulla nadante fans kaar aane ethinne troll cheythath nn ellarkkum ariyam onnum parayan ella...,Non-sarcastic
Ippol thanne ethra pravashyam Kandu ennu enikkariyilla,Non-sarcastic
ഫാൻസിഡ്രസ്സ് കോംപറ്റീഷൻ: മറ്റൊരു കടത്തനാടൻ അമ്പാടി ആവുമോ,Sarcastic
Ikka polichu but Gopi ഏട്ടന്റെ bgm അത്ര പോര ..,Non-sarcastic
എന്ന് നിന്റെ മൊയ്തീനിലെ സോങ് ഓർമ വന്നവർ ലൈക് അടിക്കു( കണ്ണുണ്ട് ചൊല്ലുന്ന സോങ്),Sarcastic
