Text,labels
Ranjith padam vanthappa ethana peru kathari aluthurukkanganu keela ulla comenta partha thanda theriuthu entha padathukku ulla comenta partha thanda theriuthu ethan sathi tamilnattula erukkuthunu eppa theriunda makkalukku evan jathi veri pidicha kumbalnu.,Non-sarcastic
Wow vera level thank u sankar sir,Non-sarcastic
Inga vijay fans than neraiya support pandrom nu haters ku like buttun adichi kaatunga pullaingalaaa ...,Sarcastic
KickAss Trailer !!! #Thalaivaaaaaaaa #HappyTears  #Atlee Pinteenga bro,Non-sarcastic
singam vaada vaada vaada..... i love,Sarcastic
அது என்னடா சாய் பல்லவி கன்னத்துல சிவப்பா,Sarcastic
Semma summa alluthu teaser..thalaiva nee vaa...,Non-sarcastic
Thalaivar Vera Level  Viswasam moodiththu irukka vendiyathuthan,Sarcastic
Dislikers please step back  2K19 #Kaithi  Diwali,Sarcastic
Nithya menon dhaan best choice green sari la radha mari iruka,Non-sarcastic
Epo trailer pathuttu erukinge like podunge,Non-sarcastic
Va thala va thala ne ...unaku support pana nangha irukom.....intha padam kandepa nala response kedikum....thanks to director,Non-sarcastic
Bgm vera level Sam cs nee vera level vara pora,Non-sarcastic
Theri Relese Aaki Innaikku 2 Year Aakuthu,Non-sarcastic
"நாடக காதல் செய்ய தூண்டும் #vck  திருமா,ரஞ்சித்,அதியமான் போன்ற நாய்களுக்கு செருப்படி...கலப்பு காதலித்தால் , வெட்டி வீசுவோம்...திரௌபதி வெற்றி பெற கவுண்டர் சமுதாயம் சார்பாக வாழ்த்துக்கள்...",Non-sarcastic
That 700+ dislikes 2 k kids or Rajini fans,Non-sarcastic
Thalaiva vera level vengai mVan setha,Non-sarcastic
Kuruttu mundammmm veenapona dhandammmm uday    oru like podunga,Sarcastic
இந்த படம் கண்டிப்பா  வர வேண்டியது  அவசியம்    என் ஆதரவும் உண்டு  ஒழுக்கம் உயிரினும் மேலானது,Non-sarcastic
I'm biging fan for Santa Anna,Non-sarcastic
Polichu machane . Suriya & lalettan 🤩🤩🤩,Sarcastic
"Karhtik Subburaj Mass Pannitinga ,Thalaivara supera kattirukinga thanks bro",Non-sarcastic
Yuvan summave music therikkaviduvapale thalaikku sollava venum vera level,Non-sarcastic
Thala Ajith ending punch. Thala Ajith namala thaan solluraru ellathaum kavanikuraru .follow pandran Thalaiva Thala fans sarba,Non-sarcastic
1.20 dei tejai 🤣🤣 neeena da panra inga 🤣🤣🤣🤣,Sarcastic
Atli mathiri muttalukal kandu padikkattum eppadi padam pudikkanam entrath,Sarcastic
Complete actor & nadippin nayakan,Non-sarcastic
சூர்யா இன்னுமா நீ இருக்க... உன்னோட போனபடத்துல சொன்னமாதிரி வேரடி வேரடி வெளுக்க தோணுது இந்தப்படமும் நல்லா இல்லாட்டி உன்ன,Non-sarcastic
"haha his last sentence in malayu kena tunggu lama lagi,untuk tahu saya mass",Non-sarcastic
"சாதி திமிறு ,சாதி வெறி அப்டியே ஏத்திவிடுர  மாதிரி படம்",Non-sarcastic
திருப்பத்தூர் மாவட்டம் குருமன்ஸ் சங்கம் சார்பாக படம் வெற்றி பெற‌ வாழ்த்துக்கள்  தரமான படம்,Non-sarcastic
Last dialogue for petta viswasam problem🤔🤔🤔🤔,Sarcastic
மாவீரன் காடுவெட்டியார் ஆசியுடன் வெற்றி பெற வாழ்த்துகள்,Non-sarcastic
Last le kattura jayam ravi look super i like jayam ravi,Non-sarcastic
Aadhi anna na unnoda periya fan mersal scene  vachu sirikkirathu pudikala,Non-sarcastic
Masss illa ithu pakka pakka marana marana masssss,Sarcastic
Come on fast 1m likes,Non-sarcastic
Big answer to sahoo from tamil Chiyaan uyir,Non-sarcastic
Rajini ku etha veda பெரிய kevalam 1um irukaathu,Non-sarcastic
PADATHUKKU LOOSU KOODHEE NU PERU VECHIRKALAAMM.....APT AH IRUNDHIRUKKUM,Non-sarcastic
Diwali list la indha movie dhaan win pannum,Non-sarcastic
Myskin sir nenga Vera level super,Non-sarcastic
Kaappaan will be a Suriyas biggest blockbuster,Non-sarcastic
thats thalaivar walk +gvp bgm  yedutu vaingada national awarda 🤩,Sarcastic
தமிழ்நாடு சூரிய குல சத்திரியர்கள் முத்தரையர் சார்பாக....நெஞ்சார்ந்த வாழ்த்துக்கள்....சரியான பதில் அடி.... வெற்றி நமதே..,Non-sarcastic
Actor Vijay Anna Bairavaa Teaser Dialogue's:  Dialogue-1 Vijay Anna: தெரிஞ்ச எதிரியை விட தெரியாத எதிரிக்கு தான் அள்ளு அதிகமா இருக்கணும்  Dialogue-2 Vijay Anna Cute Dialogue: விளையாடலாமா.....  Dialogue-3 Vijay Anna: இன்னைக்கு நிறைய பேர்டா இல்லாத கேட்ட பழக்கம் என்ட இருக்குது  Dialogue-4 Villian: நீ என்ன வசூல் மன்னனா....?   Dialogue-5 Thalapathy:தெரியல அப்படித்தான் பேசிக்கிறாங்க... Sema  Last Dialogue-6 Vijay Anna: எப்போ வரும்-னு சொல்லனுமா.....?.........,Non-sarcastic
"Dai,pilakalaiyavathu padiga vaiyungada, Onga ponnai yenda neengalea kevala paduthuringa.",Sarcastic
Veera vanniyanda...... throwpathi.... Summa terikka vitu...,Non-sarcastic
"maththavangaluku thala yaarunn ippa theriyim, thala fance yaaarunnum ippa theriyum. naanga peeniks parava da, thala sixpak. paakka readyaa? vivegam film ma therikka vidalama.)",Sarcastic
Womale    ebah dei thala,Sarcastic
Dai enna da panni vechu irukinga,Non-sarcastic
Super ji setthan da ranjith naai,Non-sarcastic
i phone vs android nu ninaikiren,Non-sarcastic
பெண்ணை பெற்றவர்கள் படிக்கும் போதே நாடக காதலை பற்றி சொல்லி கொடுத்து வளர்க்க வேண்டும்,Non-sarcastic
End dialogue serupadi to Dislike guys 🤣,Sarcastic
90s kids madilaruthu kuthicha shakthiman kapathu varu,Sarcastic
i Yooo ipaaaaaaa Thala Semaya Erukinga  Love You Thala,Non-sarcastic
aM wit FOr mOvie Annaa....,Non-sarcastic
Adai trailer yeah cut dhaan adheayeah skip panni paaka vaikireingaleayda,Sarcastic
"போலி ஜாதி ஒழிப்பு கூட்டமும், போலி சமூகநீதி கரடிகளும் பேசாத நிஜங்களை நெஞ்சை நிமிர்த்தி பேச வரும்  இயக்குனர் மோகன் அவர்களுக்கு",Non-sarcastic
என்னுடைய பிரண்டு தான் இதே மாதிரிதான் சிரிச்சிட்டு இருப்பான் எந்த நேரத்தில்  சிரி கொன்னே தெரியாது,Sarcastic
Eppa enna panna poorom  🤔 sewwt sapda porom,Non-sarcastic
Hii innik teaser patjavange hit like,Non-sarcastic
படம் வெற்றிபெற வாழ்த்துக்கள் இந்த சாதி என்று குறிப்பிடாதது மேலும் நன்று,Non-sarcastic
Bigi footbal scenes intha madiri realitiya eduthirundalum innum konjam nalla  irundirukkum padam,Non-sarcastic
Enna da hollywood level ku poitinga,Sarcastic
Wow wow wow wow wow wow super   any bady never catch  sankar,Non-sarcastic
Megha akash nadicha padam enpt thavara ellame release aaguthu inum enpt matum kanom epa than da varum🤨🤨🤨🤨,Sarcastic
thala marana mass sai blsing always you..super thala,Non-sarcastic
Nalavanga ketavanga rendu gunam iruku adhula keel jathi Mel jathi ethuku avangala yen kasta paduthringa ponnunga veetla soldra paiyana Marge panikonga yarum nambathinga nenga love pandrathunala dha ivlo pblm,Non-sarcastic
Oruthar meala viswasam katura naala inu oruthara yen asinga paduthuringa thala vera level,Sarcastic
Kola massssss surya anna vera level,Non-sarcastic
Santhosh Narayan music pottu iruntha innum nalla irunthu irukum .,Sarcastic
Dai intha mathirila padam edukathingada bayama iruku daa,Sarcastic
Eppo pa kadhalada song varum,Non-sarcastic
Erukku Vera leval fun erukku 🤣🤣,Non-sarcastic
Give one like to rajnikanth fans,Non-sarcastic
22k dislikes oru vela visay pans a irupanugalo,Sarcastic
"Nalla irukku bro, padam vetri Pera vazhukkal",Non-sarcastic
செம சூப்பர் .. வாழ்த்துக்கள் மோகன் அண்ணா,Non-sarcastic
14 million views ....varalaam varalaam vaa bairavaaa,Non-sarcastic
உலகம் அழியும் வரை சாதி கொடுமை அழியாது அதற்க்கு ஒரு ஊக்கம் இந்த டிரைலர்,Non-sarcastic
NadippinNayagan suriya sir Versatile actor in kollywood..  Kaappaan loading....,Non-sarcastic
Vivegam maari enimel oru movie um varathu yaralum adukaum mudiyathu,Non-sarcastic
Aday telugu paiyangala unga bahubali record ah thookitu odunga 2.o comming.......,Sarcastic
Maja thala marana  mass thala,Sarcastic
Chiyaan ku all the best..but trailor semma mokkkaa..,Sarcastic
Nt interested juz to point out da fact so u juz enjoy,Sarcastic
Sathiyama solra teasera nighttha pakren antha bgmoda avanga  bodhu  allu vttruchu peiya paatha maari irukku,Non-sarcastic
Oscar winning flim daa epppa 🤣🤣🤣🤣,Sarcastic
என்னங்கடா போறபோக்குள என் தலைவர கலாய்கிறிங்க தாக்கல்தான் பாத்துக்க,Sarcastic
Albod galbod tolvad eeafhta fsadi bangsudsev tonytwag fortesgte,Non-sarcastic
"Tamil tamil nu  nalla sambathingada,nanga thanda aemali.modhala tamilpesura ponungaloda nadingada.",Sarcastic
I think dislikers are Indian. But I'm #ANTIINDIAN.,Non-sarcastic
Sam cs vera level music now,Non-sarcastic
Trailer iku munadi yaru Ellam Treaser paikka vanthinka,Non-sarcastic
"செங்குந்த முதலியார்  சார்பாக,,வெள்ளி விழா காண,,வாழ்த்துகிறேன்,,,,நாடக காதல் வெள்ளி திரை க்கு வருவது,,, வரவேற்க தக்கது,,, சாதியை ஒழிப்போம் என பொய்,,வேஷம் இட்டவர்கள்,,, இனி எதிர் நோக்கட்டும்,,உண்மையான,சாதி ஒழிப்பை,,,தமிழினத்தில்,,ஏற்ற தாழ்வு,,என்ற ஒன்று,,,இல்லை,,,தமிழ் குடிகள்,,அனைத்தும்,, ஒன்றே,,,,,",Non-sarcastic
தென்காசி மாவட்டம் முதலியார் சமூகம் சார்பாக திரைப்படம் வெற்றியடைய வாழ்த்துக்கள்,Non-sarcastic
"Chiyan Vikram, ungalukku indha madhri kadhai lam yarum kondu varadhu ilaya !?! ila neenga kaekradhu ilaya ?!?!",Non-sarcastic
Irkatum ngk epo da release uh,Non-sarcastic
waiting Thalapathy 64🤟 # Lokesh kanagaraj,Non-sarcastic
Perumaya sollu thala rasiganu  Vera level Thala,Non-sarcastic
Yaarukellam padam marubadiyum paakkanum pola irukku ??,Non-sarcastic
"நாடக காதல் ஒரு கேவலமான செயல் சாதி என்ற பெயரில் அரசாங்கத்திடம் அதிக சலுகைகளையும் பெற்றுக்கொண்டு, அடுத்த சாதியினரின் பெண்ணின் வாழ்க்கையையும் கெடுத்துக்கொண்டு நாட்டின் வளர்ச்சியை தடுத்து நிறுத்தும் இவர்களைத்தான் முதலில் கைது செய்து தண்டனைக்கு உட்படுத்தவேண்டும்.",Non-sarcastic
thalaivaaaa......ungalaa maari style ha yatumae illa.......m,Non-sarcastic
உலக சினிமா துறையில் சகோதரர் மோகன் ஜி அவர்கள் மிக பெரிய சாதனைகள் படைக்க வாழ்த்துக்கள்,Non-sarcastic
சூத்திர பசங்களா  நீங்களாம் உண்மையிலே   மென்டலா இல்ல மென்டல் மாதிரி நடிக்கிறீங்களாடா   ஏன்டா திரௌபதி ஒரு தேவிடியா அந்த பெயர்ல தலைப்பு வச்சு நீங்களாம் யாருனு அப்பப்போ நிருபிக்கிறீங்கடா,Non-sarcastic
yovv sai sai thank you ya thala sema,Non-sarcastic
"புலி பதுங்கியது அதிரடியாய் தெறிக்கத்தானோ??? கண் இமைக்காமல் வியக்கவைத்து பலமுறை பாா்க்க வைக்கும் trailerum, repeat modelல் கேட்கவைக்கும் பாடல்களும் போதுமே படம் soooooperrrrrr dooooppperrrr hit என்று சொல்ல!!!! காவலனாய், காதலனாய், தந்தையாய் திரையில் வலம் வந்தாலும், Everything in the world to me is VIJAY....... தெறி BABY!!!!!",Non-sarcastic
Ultimate star ajith kumar THALA DA,Non-sarcastic
Sema trailer i  love it,Non-sarcastic
king of kollywood one & only Thala Thala Thala Thala Thala Thala Thala,Non-sarcastic
தியேட்டர் போய் படம் பார்க்க வேண்டிய நேரம் வந்துடுசு டோய்ய்ய்ய்ய்ய்,Non-sarcastic
Lalettan fans adich pottikk a like button,Non-sarcastic
"படம் வெற்றி பெறும்,,,,,",Non-sarcastic
Vera level SK.anna I love you so much,Sarcastic
தூத்துக்குடி முத்து குழிக்கும் முத்தரையர் மக்கள் சார்பில் வாழ்த்துகள்,Non-sarcastic
பெண் பிள்ளைகளை பெற்ற என்போன்ற பெற்றோர்களின் கனவு படம்...  மாபெரும் வெற்றிபெற வாழ்த்துக்கள்...,Non-sarcastic
"Kekka bekka fans, hit like 🤘",Non-sarcastic
Ella Lulla kulla bulla 🤣🤣🤣 I understand Tamil language,Non-sarcastic
Kv anand Harris combo Ayan njabakam varudhu  From kerala,Non-sarcastic
Ennada SK paithiyakara maari dialogue pesama irukanenu paathan kadaisiya pesitan,Non-sarcastic
15k dislike blue sattai kuruma grp thana kathari savanga,Non-sarcastic
Baasha paartha feel irukku ! Thanks for bringing 90's Rajini back Karthik Subburaj,Non-sarcastic
சமூக அவளங்களை துல்லியமாக தோலுரிகின்ற படம் நாடக காதல் #திரௌபதி  வெற்றி பெற கோட்டூர் நாடானோட மனமாற்ந்த வாழ்த்துகள்,Non-sarcastic
fucking kujith fans katharal konjam over a irukkku happy a erukku parkkum pothu,Non-sarcastic
பொள்ளாச்சி சம்பவத்தை காட்டியிருக்கலாம்... ஓ அது சொந்த சாதிக்காரன் பண்ணுணதா,Non-sarcastic
Vijay bhairava mass இங்க நிறைய பேருக்கிட்டா இல்லதா கெட்ட பழக்கம் ஒண்ணு என்கிட்ட இருக்குது,Sarcastic
Trailer vera level nu solravanga like poduga,Non-sarcastic
maranam mass maranam  vayasanalum onga style apdeya than erukku adha yaralayum onum panna mudeyadhu,Non-sarcastic
"Hey, Dislike pannavellaam apdiye odi poidu.. Kola kaandula iruken..",Sarcastic
Thala Thala Thala Thala Thala Thala Thala Thala Thala Thala Thala Thala Thala Thala Thala Thala,Non-sarcastic
Super  yaarunu ketta Chinna kolanthaium sollum... Thalaivar really back....,Non-sarcastic
varusam varusam ipdi oru kirukkan namma kitta vanthu sikkirrrran ithaalaam oru teaserraa ???  tv la podra ads kuda nalla irukku,Sarcastic
Vera level ......serupala adicha Maari erukum.....avunugaluku.....,Non-sarcastic
நாடக காதல்னா என்னனு மட்டும் யாராவது சொல்லுங்களேன்,Non-sarcastic
Achooo satyama mudiyala marana mass finishing,Non-sarcastic
"வீர வன்னியர்...... சேலம் மாவட்டம், மேட்டூர் வட்டம்,மூலக்காடு கிராமம்... வீரப்பன் புதைக்கப்பட்ட (விதைக்கப்பட்ட) ஊர் சார்பில், படம் வெற்றி பெற வாழ்த்துக்கள்...",Non-sarcastic
நமது சமூகத்திற்காக குரல் கொடுக்கும் உங்கள் பின்னால் எப்போதும் நாங்கள் நிற்போம்..,Non-sarcastic
Face alag se dikh raha hai mask alag kisi moti actress ko le lete kya jarurat thi,Non-sarcastic
Thalapathya mattum thaniya kindal panna prachana varumnu thalayayum sethu kindal panneerkaanga bayandhutaainga,Non-sarcastic
தெரிஞ்ச எதிரிய விட தெரியாத எதிரிக்குதான் அல்லு அதிகமா இருக்கனும் #Bairavaa,Sarcastic
Oru vela intha movie bigil ku mundai vandhu irundha atlee inum konjam nala  yeduthu iruparu pola...........!!,Sarcastic
amaiku sangu confirmed adai Siva ha ha ha apidiye Feb odi poidu .. Illa 10 paisa paaka maata,Sarcastic
Semma da dai 90 kids and 96 rajini entry chance ah ella bangam,Sarcastic
Trailer keah aluviduthu.... Thala yeah Big Screen la pakka verilaa erukom..!!,Non-sarcastic
Rempa nalaiku aprm thalaya differentah movie panirukaru sema sema,Sarcastic
lv u Viji sir. am in Karnataka. bt am die hard fan of urs.,Non-sarcastic
Ithu NGKFIRE  Illa ithu aadhukum mela  itha accept pannuravanga matum like pannunga,Non-sarcastic
thapathy lv u so much thalaiva ..................teaser theri mass......... .....alllllllluuuuuuuu...........,Non-sarcastic
Para badugala savkala adicha mathiri irukkum,Non-sarcastic
Thala mass  Hvy sprt kerala Surya anna fans,Non-sarcastic
🤣🤣🤣ye kya bawaseer bana die ho be,Non-sarcastic
Hey padam samaiya irukum poola iruku im waiting to watch this,Non-sarcastic
Plz all r listen headset... Uvan bgm Vera level,Non-sarcastic
Dei Rajinikanth sonnathu Dec 31 2017...intha chinna visayam kooda theriyama 2016 nu solllirukeenga.. Ithu kooda theriyama seen vecha director evlo koomuttaiya irupan.ithula nadicha ellame evlo koomuttaiya irupanuga...,Non-sarcastic
Are u virgin... Fuck me.... By ajith,Sarcastic
போராடுறது தப்புனா போராடுற சூழ்நிலையை உருவாக்குறதும் தப்புதான.....  அருமை.....,Non-sarcastic
Arasiyaluku Pogama... Superstar vey irundunga... Pls,Sarcastic
the last dance in vetti satte super!,Non-sarcastic
12 min 60 k likes and 300k views  seema fast athaaaan thala,Non-sarcastic
"Namma suriya annanum,  selvaraghavan annanum thirumbi vanthitteh...innime samma kondattam thaan.......malayali surya fans undo...im a dhanush fan frm kerala but i love surya too...",Non-sarcastic
கஞ்சிக்கு சாகுற பயலுகளுக்கு சாதி தான் இங்க ஒரு கேடு.. கேன பூ மவனுங்க..,Non-sarcastic
NADIPPIN NAYAKAN  + THE COMPLETE ACTOR = KAAPPAAN,Non-sarcastic
Blockbuster aga valthukal from sk bloods,Non-sarcastic
எப்போது ஒருவர் தனக்கும் கீழ் ஜாதி இவர் என்பதை நினைக்காமல் சக மனிதர்கள் என்று பார்கின்றாரோ... அப்போது தான் ஒருவர் முழு மனிதர் ஆகின்றார்... ( Enoda comment padichitu na intha jaathikarana irupanu nenaikravnga Iruka varaikum... Ethuvum maraporathu ila...  ),Non-sarcastic
Adhan adi padai arasiyal matram #NTK,Non-sarcastic
అన్నయ్య.... తెలుగు లో కూడా చేయండి అన్నయ్య... మూవీస్ ప్లీజ్ అన్నయ్య,Non-sarcastic
Intha padah trailer la engaium thalithu word use panalaya aparam yan antha sathinar pongurenga ithu satharna social massage movie than ungalku vantha retham mathavangaluku vantha? ......,Non-sarcastic
neraya neraya neraya neraya neraya neraya.,Non-sarcastic
Trailer ae suuper  ahhhh iruku.. hiphop tamila music....  like 90's kids ..,Non-sarcastic
Thalaivaa maranama irukkumarana mass & waiting thalaivaa,Non-sarcastic
